timestep,obs_comp_0,obs_det_rate_comp_0,action_comp_0,state_comp_0_state_0,belief_comp_0_state_0,state_comp_0_state_1,belief_comp_0_state_1,state_comp_0_state_2,belief_comp_0_state_2,state_comp_0_state_3,belief_comp_0_state_3,state_comp_0_state_4,belief_comp_0_state_4,obs_comp_1,obs_det_rate_comp_1,action_comp_1,state_comp_1_state_0,belief_comp_1_state_0,state_comp_1_state_1,belief_comp_1_state_1,state_comp_1_state_2,belief_comp_1_state_2,state_comp_1_state_3,belief_comp_1_state_3,state_comp_1_state_4,belief_comp_1_state_4,obs_comp_2,obs_det_rate_comp_2,action_comp_2,state_comp_2_state_0,belief_comp_2_state_0,state_comp_2_state_1,belief_comp_2_state_1,state_comp_2_state_2,belief_comp_2_state_2,state_comp_2_state_3,belief_comp_2_state_3,state_comp_2_state_4,belief_comp_2_state_4,obs_comp_3,obs_det_rate_comp_3,action_comp_3,state_comp_3_state_0,belief_comp_3_state_0,state_comp_3_state_1,belief_comp_3_state_1,state_comp_3_state_2,belief_comp_3_state_2,state_comp_3_state_3,belief_comp_3_state_3,state_comp_3_state_4,belief_comp_3_state_4,obs_comp_4,obs_det_rate_comp_4,action_comp_4,state_comp_4_state_0,belief_comp_4_state_0,state_comp_4_state_1,belief_comp_4_state_1,state_comp_4_state_2,belief_comp_4_state_2,state_comp_4_state_3,belief_comp_4_state_3,state_comp_4_state_4,belief_comp_4_state_4,obs_comp_5,obs_det_rate_comp_5,action_comp_5,state_comp_5_state_0,belief_comp_5_state_0,state_comp_5_state_1,belief_comp_5_state_1,state_comp_5_state_2,belief_comp_5_state_2,state_comp_5_state_3,belief_comp_5_state_3,state_comp_5_state_4,belief_comp_5_state_4,obs_comp_6,obs_det_rate_comp_6,action_comp_6,state_comp_6_state_0,belief_comp_6_state_0,state_comp_6_state_1,belief_comp_6_state_1,state_comp_6_state_2,belief_comp_6_state_2,state_comp_6_state_3,belief_comp_6_state_3,state_comp_6_state_4,belief_comp_6_state_4,obs_comp_7,obs_det_rate_comp_7,action_comp_7,state_comp_7_state_0,belief_comp_7_state_0,state_comp_7_state_1,belief_comp_7_state_1,state_comp_7_state_2,belief_comp_7_state_2,state_comp_7_state_3,belief_comp_7_state_3,state_comp_7_state_4,belief_comp_7_state_4,obs_comp_8,obs_det_rate_comp_8,action_comp_8,state_comp_8_state_0,belief_comp_8_state_0,state_comp_8_state_1,belief_comp_8_state_1,state_comp_8_state_2,belief_comp_8_state_2,state_comp_8_state_3,belief_comp_8_state_3,state_comp_8_state_4,belief_comp_8_state_4,obs_comp_9,obs_det_rate_comp_9,action_comp_9,state_comp_9_state_0,belief_comp_9_state_0,state_comp_9_state_1,belief_comp_9_state_1,state_comp_9_state_2,belief_comp_9_state_2,state_comp_9_state_3,belief_comp_9_state_3,state_comp_9_state_4,belief_comp_9_state_4,obs_comp_10,obs_det_rate_comp_10,action_comp_10,state_comp_10_state_0,belief_comp_10_state_0,state_comp_10_state_1,belief_comp_10_state_1,state_comp_10_state_2,belief_comp_10_state_2,state_comp_10_state_3,belief_comp_10_state_3,state_comp_10_state_4,belief_comp_10_state_4,obs_comp_11,obs_det_rate_comp_11,action_comp_11,state_comp_11_state_0,belief_comp_11_state_0,state_comp_11_state_1,belief_comp_11_state_1,state_comp_11_state_2,belief_comp_11_state_2,state_comp_11_state_3,belief_comp_11_state_3,state_comp_11_state_4,belief_comp_11_state_4,obs_comp_12,obs_det_rate_comp_12,action_comp_12,state_comp_12_state_0,belief_comp_12_state_0,state_comp_12_state_1,belief_comp_12_state_1,state_comp_12_state_2,belief_comp_12_state_2,state_comp_12_state_3,belief_comp_12_state_3,state_comp_12_state_4,belief_comp_12_state_4,global_action
25,0,25,0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,25,0,1,0.8017596822903292,0,0.19824031770967074,0,0.0,0,0.0,0,0.0,0,25,0,1,0.7958201575682248,0,0.2041798424317752,0,0.0,0,0.0,0,0.0,0,25,0,0,1.6954430879839073e-16,1,0.9999999999999999,0,0.0,0,0.0,0,0.0,0,25,0,1,0.9441700674422617,0,0.05582993255773822,0,0.0,0,0.0,0,0.0,0,25,0,1,0.8411345489212403,0,0.1588654510787598,0,0.0,0,0.0,0,0.0,0,25,0,1,0.8078673586046711,0,0.1921326413953289,0,0.0,0,0.0,0,0.0,0,25,0,1,0.8795788402593364,0,0.12042115974066366,0,0.0,0,0.0,0,0.0,0,25,0,1,0.8017596822903292,0,0.19824031770967074,0,0.0,0,0.0,0,0.0,0,25,0,0,0.8867460038925212,1,0.11325399610747873,0,0.0,0,0.0,0,0.0,0,25,0,1,0.8249223443132278,0,0.17507765568677222,0,0.0,0,0.0,0,0.0,0,25,0,1,0.7838128959160692,0,0.21618710408393085,0,0.0,0,0.0,0,0.0,0,25,0,1,0.8197788058212081,0,0.18022119417879187,0,0.0,0,0.0,0,0.0,0
26,0,26,0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,26,0,1,0.7939037224085733,0,0.20609627759142665,0,0.0,0,0.0,0,0.0,0,26,0,1,0.7880760499557526,0,0.21192395004424736,0,0.0,0,0.0,0,0.0,0,26,0,0,1.6944025458404343e-16,1,0.9999999999999999,0,0.0,0,0.0,0,0.0,0,26,0,1,0.9333950365704912,0,0.06660496342950883,0,0.0,0,0.0,0,0.0,0,26,0,1,0.8325170292087162,0,0.1674829707912838,0,0.0,0,0.0,0,0.0,0,26,0,1,0.7998955523603506,0,0.2001044476396494,0,0.0,0,0.0,0,0.0,0,26,0,1,0.8701841595559956,0,0.12981584044400443,0,0.0,0,0.0,0,0.0,0,26,0,1,0.7939037224085733,0,0.20609627759142665,0,0.0,0,0.0,0,0.0,0,26,0,0,0.8718783274650478,1,0.1281216725349522,0,0.0,0,0.0,0,0.0,0,26,0,1,0.8120057896713159,0,0.18799421032868407,0,0.0,0,0.0,0,0.0,0,26,0,1,0.7721189374060969,0,0.22788106259390312,0,0.0,0,0.0,0,0.0,0,26,0,1,0.8125156327320634,0,0.18748436726793657,0,0.0,0,0.0,0,0.0,0
27,0,27,0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,27,0,1,0.7861174842752696,0,0.2138825157247304,0,0.0,0,0.0,0,0.0,0,27,0,1,0.780399665547608,0,0.21960033445239205,0,0.0,0,0.0,0,0.0,0,27,0,0,1.6933623882605422e-16,1,0.9999999999999999,0,0.0,0,0.0,0,0.0,0,27,0,1,0.9227492507722316,0,0.07725074922776838,0,0.0,0,0.0,0,0.0,0,27,0,1,0.8239834157000333,0,0.17601658429996672,0,0.0,0,0.0,0,0.0,0,27,0,1,0.7919955609719822,0,0.20800443902801785,0,0.0,0,0.0,0,0.0,0,27,0,1,0.8608888637705584,0,0.13911113622944157,0,0.0,0,0.0,0,0.0,0,27,0,1,0.7861174842752696,0,0.2138825157247304,0,0.0,0,0.0,0,0.0,0,27,0,0,0.8573191523654522,1,0.14268084763454775,0,0.0,0,0.0,0,0.0,0,27,0,1,0.7993293879725832,0,0.2006706120274168,0,0.0,0,0.0,0,0.0,0,27,0,1,0.7606255948660721,0,0.239374405133928,0,0.0,0,0.0,0,0.0,0,27,0,1,0.8053066588956541,0,0.19469334110434597,0,0.0,0,0.0,0,0.0,0
28,0,28,0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,28,0,1,0.7784012811644772,0,0.22159871883552287,0,0.0,0,0.0,0,0.0,0,28,0,1,0.7727913388982707,0,0.2272086611017293,0,0.0,0,0.0,0,0.0,0,28,0,0,1.692322615196041e-16,1,0.9999999999999999,0,0.0,0,0.0,0,0.0,0,28,0,1,0.9122321125621987,0,0.08776788743780137,0,0.0,0,0.0,0,0.0,0,28,0,1,0.8155338507066288,0,0.18446614929337127,0,0.0,0,0.0,0,0.0,0,28,0,1,0.7841676746481319,0,0.2158323253518681,0,0.0,0,0.0,0,0.0,0,28,0,1,0.8516928729295858,0,0.14830712707041416,0,0.0,0,0.0,0,0.0,0,28,0,1,0.7784012811644772,0,0.22159871883552287,0,0.0,0,0.0,0,0.0,0,28,0,0,0.8430621199452352,1,0.15693788005476483,0,0.0,0,0.0,0,0.0,0,28,0,0,0.7868892360897065,1,0.2131107639102935,0,0.0,0,0.0,0,0.0,0,28,0,1,0.7493302231877214,0,0.2506697768122787,0,0.0,0,0.0,0,0.0,0,28,0,1,0.7981523330789322,0,0.20184766692106787,0,0.0,0,0.0,0,0.0,0
29,0,29,0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,29,0,1,0.7707553742427983,0,0.22924462575720164,0,0.0,0,0.0,0,0.0,0,29,0,1,0.7652513531708346,0,0.23474864682916538,0,0.0,0,0.0,0,0.0,0,29,0,0,1.6912832265987342e-16,1,0.9999999999999999,0,0.0,0,0.0,0,0.0,0,29,0,1,0.9018429634914209,0,0.09815703650857911,0,0.0,0,0.0,0,0.0,0,29,0,1,0.8071684201743928,0,0.19283157982560709,0,0.0,0,0.0,0,0.0,0,29,0,1,0.7764121307712418,0,0.22358786922875823,0,0.0,0,0.0,0,0.0,0,29,0,1,0.8425960476296934,0,0.15740395237030658,0,0.0,0,0.0,0,0.0,0,29,0,1,0.7707553742427983,0,0.22924462575720164,0,0.0,0,0.0,0,0.0,0,29,0,0,0.8291009301430068,1,0.1708990698569933,0,0.0,0,0.0,0,0.0,0,29,0,0,0.7746814107999497,1,0.22531858920005035,0,0.0,0,0.0,0,0.0,0,29,0,1,0.738230126105181,0,0.261769873894819,0,0.0,0,0.0,0,0.0,0,29,0,1,0.791053061506849,0,0.20894693849315102,0,0.0,0,0.0,0,0.0,0
30,0,30,0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,30,0,1,0.7631799747359389,0,0.23682002526406118,0,0.0,0,0.0,0,0.0,0,30,0,1,0.7577799422348994,0,0.2422200577651006,0,0.0,0,0.0,0,0.0,0,30,0,0,1.69024422242042e-16,1,0.9999999999999999,0,0.0,0,0.0,0,0.0,0,30,0,1,0.8915810881694181,0,0.10841891183058187,0,0.0,0,0.0,0,0.0,0,30,0,1,0.7988871563298519,0,0.2011128436701482,0,0.0,0,0.0,0,0.0,0,30,0,1,0.7687291161358701,0,0.23127088386412983,0,0.0,0,0.0,0,0.0,4,30,0,0,0.0,0,0.0,0,0.6267781146547642,1,0.32244600733629863,0,0.050775878008937285,0,30,0,1,0.7631799747359389,0,0.23682002526406118,0,0.0,0,0.0,0,0.0,0,30,0,0,0.8154293486265058,1,0.1845706513734941,0,0.0,0,0.0,0,0.0,0,30,0,0,0.762701977077592,1,0.23729802292240804,0,0.0,0,0.0,0,0.0,0,30,0,1,0.72732256423305,0,0.27267743576695,0,0.0,0,0.0,0,0.0,0,30,0,1,0.7840092093115163,0,0.2159907906884837,0,0.0,0,0.0,0,0.0,0
31,0,31,1,1,0.9873402561682955,0,0.012659743831704491,0,0.0,0,0.0,0,0.0,0,31,0,1,0.7556752460460067,0,0.2443247539539934,0,0.0,0,0.0,0,0.0,0,31,0,1,0.7503772927183927,0,0.24962270728160738,0,0.0,0,0.0,0,0.0,0,31,1,1,0.9873402561682955,0,0.012659743831704491,0,0.0,0,0.0,0,0.0,0,31,0,1,0.8814457181215747,0,0.11855428187842527,0,0.0,0,0.0,0,0.0,0,31,0,1,0.7906900402527879,0,0.20930995974721214,0,0.0,0,0.0,0,0.0,0,31,0,1,0.7611187691342638,0,0.23888123086573626,0,0.0,0,0.0,0,0.0,4,31,1,0,0.0,0,0.0,1,0.833357483280974,0,0.1523822997721693,0,0.01426021694685663,0,31,0,0,0.7556752460460067,1,0.2443247539539934,0,0.0,0,0.0,0,0.0,0,31,0,0,0.8020412130918012,1,0.1979587869081988,0,0.0,0,0.0,0,0.0,0,31,0,0,0.7509469956962553,1,0.24905300430374466,0,0.0,0,0.0,0,0.0,0,31,0,1,0.7166047625435567,0,0.28339523745644335,0,0.0,0,0.0,0,0.0,0,31,0,1,0.7770211019592921,0,0.2229788980407079,0,0.0,0,0.0,0,0.0,0
